,"Rank in states & territories, 2020","Rank in states & territories, 2010",State,"Census population, April 1, 2020 [1][2]","Census population, April 1, 2010 [1][2]","Percent change, 2010–2020 [note 1]","Absolute change, 2010-2020","Total seats in the U.S. House of Representatives, 2023–2033",Census population per electoral vote [note 2],Census population per House seat,"Percent of the total U.S. population, 2020 [note 3]"
31,32.0,31.0,Iowa,3190369,3046355,4.7%,+144014,4,531728,797592,0.95%
32,33.0,36.0,Nevada,3104614,2700551,15.0%,+404063,4,517436,776154,0.93%
33,34.0,33.0,Arkansas,3011524,2915918,3.3%,+95606,4,501921,752881,0.90%
34,35.0,32.0,Mississippi,2961279,2967297,−0.2%,"−6,018",4,493547,740320,0.88%
35,36.0,34.0,Kansas,2937880,2853118,3.0%,+84762,4,489647,734470,0.88%
36,37.0,37.0,New Mexico,2117522,2059179,2.8%,+58343,3,423504,705841,0.63%
37,38.0,39.0,Nebraska,1961504,1826341,7.4%,+135163,3,392301,653835,0.59%
38,39.0,40.0,Idaho,1839106,1567582,17.3%,+271524,2,459777,919553,0.55%
39,40.0,38.0,West Virginia,1793716,1852994,−3.2%,"−59,278",2,448429,896858,0.54%
40,41.0,41.0,Hawaii,1455271,1360301,7.0%,+94970,2,363818,727636,0.43%
41,42.0,43.0,New Hampshire,1377529,1316470,4.6%,+61059,2,344382,688765,0.41%
42,43.0,42.0,Maine,1362359,1328361,2.6%,+33998,2,340590,681180,0.41%
43,44.0,44.0,Rhode Island,1097379,1052567,4.3%,+44812,2,274345,548690,0.33%
44,45.0,45.0,Montana,1084225,989415,9.6%,+94810,2,271056,542113,0.32%
45,46.0,46.0,Delaware,989948,897934,10.2%,+92014,1,329983,989948,0.30%
46,47.0,47.0,South Dakota,886667,814180,8.9%,+72487,1,295556,886667,0.27%
47,48.0,49.0,North Dakota,779094,672591,15.8%,+106503,1,259698,779094,0.23%
48,49.0,48.0,Alaska,733391,710231,3.3%,+23160,1,244464,733391,0.22%
49,50.0,51.0,District of Columbia,689545,601723,14.6%,+87822,1 (non-voting),229848,—,0.21%
50,51.0,50.0,Vermont,643077,625741,2.8%,+17336,1,214359,643077,0.19%
51,52.0,52.0,Wyoming,576851,563626,2.3%,+13225,1,192284,576851,0.17%
52,53.0,53.0,Guam,153836,159358,−3.5%,"−5,522",1 (non-voting),—,—,0.05%
53,54.0,54.0,U.S. Virgin Islands,87146,106405,−18.1%,"−19,259",1 (non-voting),—,—,0.03%
54,55.0,55.0,American Samoa,49710,55519,−10.5%,"−5,809",1 (non-voting),—,—,0.01%
55,56.0,56.0,Northern Mariana Islands,47329,53883,−12.2%,"−6,554",1 (non-voting),—,—,0.01%
56,,,Contiguous United States,329260619,306675006,7.4%,+22585613,432 (+ 1 non-voting),627163,757745,98.27%
57,,,The fifty states,330759736,308143815,7.3%,+22615921,435,621729,755796,98.71%
58,,,Fifty states + D.C.,331449281,308745538,7.4%,+22703743,435 (+ 1 non-voting),619531,—,98.92%
59,,,Total U.S. (including D.C. and territories),335073176,312846492,7.1%,+22226684,435 (+ 6 non-voting),—,—,100.00%
